ip,port,result,classification,tls,cert_subject,cert_issuer,cert_valid_from,cert_valid_to,broker_error,sys_topic_count,regular_topic_count,retained_count,publishers,timestamp
10.80.192.13,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.711225
10.80.192.13,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.719686
10.80.192.34,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.709389
10.80.192.34,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.719643
10.80.192.42,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.709723
10.80.192.42,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.719535
10.80.192.22,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.708162
10.80.192.22,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.720155
10.80.192.49,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.710968
10.80.192.49,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.720183
10.80.192.20,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.708127
10.80.192.20,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.720570
10.80.192.46,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.710889
10.80.192.46,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.720704
10.80.192.11,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.711126
10.80.192.11,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.720755
10.80.192.32,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.709153
10.80.192.32,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.719756
10.80.192.47,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.710943
10.80.192.47,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.720928
10.80.192.12,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.712686
10.80.192.12,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.720028
10.80.192.38,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.711494
10.80.192.38,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.720073
10.80.192.23,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.708328
10.80.192.23,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.721507
10.80.192.18,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.707748
10.80.192.18,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.720306
10.80.192.27,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.708842
10.80.192.27,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.720343
10.80.192.8,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.710218
10.80.192.8,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.721479
10.80.192.24,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.708428
10.80.192.24,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.720258
10.80.192.4,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.713057
10.80.192.4,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.720285
10.80.192.15,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.712849
10.80.192.15,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.721912
10.80.192.17,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.713203
10.80.192.17,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.722006
10.80.192.14,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.707709
10.80.192.14,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.722180
10.80.192.33,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.709293
10.80.192.33,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.722293
10.80.192.29,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.712461
10.80.192.29,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.720673
10.80.192.50,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.711005
10.80.192.50,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.720630
10.80.192.30,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.709010
10.80.192.30,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.720964
10.80.192.3,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.707619
10.80.192.3,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.720824
10.80.192.5,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.711062
10.80.192.5,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.722627
10.80.192.25,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.708474
10.80.192.25,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.722599
10.80.192.41,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.709693
10.80.192.41,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.721026
